TITLE="anvil_cfd_result"
VARIABLES="x" "y" "rho" "u" "v" "p" "T" "Mach" "p0"
ZONE T="Fluid", I=80, J=40, DATAPACKING=POINT
6.25000000e-03 8.60204363e-03 1.32735252e+00 6.64470803e+02 3.56466749e+01 1.21942246e+05 3.20035576e+02 1.85546161e+00 7.62870347e+05
1.87500000e-02 1.08061309e-02 1.50096625e+00 6.34337077e+02 7.02957966e+01 1.45729129e+05 3.38225064e+02 1.73108665e+00 7.53931264e+05
3.12500000e-02 1.30102181e-02 1.62226679e+00 6.14685603e+02 9.11370811e+01 1.62570865e+05 3.49100752e+02 1.65901614e+00 7.54503869e+05
4.37500000e-02 1.52143054e-02 1.67549742e+00 6.06154747e+02 1.00822446e+02 1.69959754e+05 3.53372439e+02 1.63058836e+00 7.55992135e+05
5.62500000e-02 1.74183927e-02 1.70442165e+00 6.01367035e+02 1.04163398e+02 1.74180946e+05 3.56003237e+02 1.61355155e+00 7.55375286e+05
6.87500000e-02 1.96224799e-02 1.70365743e+00 6.01415096e+02 1.05742658e+02 1.73984849e+05 3.55761956e+02 1.61494187e+00 7.56085001e+05
8.12500000e-02 2.18265672e-02 1.69926911e+00 6.01967252e+02 1.06380349e+02 1.73340399e+05 3.55359536e+02 1.61758786e+00 7.56252632e+05
9.37500000e-02 2.40306544e-02 1.69495155e+00 6.02553955e+02 1.06537343e+02 1.72720532e+05 3.54990740e+02 1.62002985e+00 7.56289531e+05
1.06250000e-01 2.62347417e-02 1.69033801e+00 6.03250561e+02 1.06607091e+02 1.72034737e+05 3.54546281e+02 1.62289441e+00 7.56503805e+05
1.18750000e-01 2.84388290e-02 1.69177633e+00 6.03101153e+02 1.06307614e+02 1.72238018e+05 3.54663439e+02 1.62209874e+00 7.56501495e+05
1.31250000e-01 3.06429162e-02 1.69508347e+00 6.02711565e+02 1.06023708e+02 1.72696759e+05 3.54914256e+02 1.62037917e+00 7.56578434e+05
1.43750000e-01 3.28470035e-02 1.69912794e+00 6.02220400e+02 1.05863909e+02 1.73252996e+05 3.55209864e+02 1.61835121e+00 7.56729631e+05
1.56250000e-01 3.50510907e-02 1.70039486e+00 6.02046356e+02 1.05974241e+02 1.73424908e+05 3.55297403e+02 1.61774878e+00 7.56802362e+05
1.68750000e-01 3.72551780e-02 1.69923310e+00 6.02202240e+02 1.06224706e+02 1.73242608e+05 3.55166585e+02 1.61856808e+00 7.56928308e+05
1.81250000e-01 3.94592653e-02 1.69709982e+00 6.02484035e+02 1.06345474e+02 1.72935384e+05 3.54982401e+02 1.61977821e+00 7.56946949e+05
1.93750000e-01 4.16633525e-02 1.69547624e+00 6.02761740e+02 1.06367536e+02 1.72678162e+05 3.54793826e+02 1.62094301e+00 7.57131720e+05
2.06250000e-01 4.38674398e-02 1.69599653e+00 6.02717340e+02 1.06261200e+02 1.72747253e+05 3.54826899e+02 1.62070276e+00 7.57164010e+05
2.18750000e-01 4.60715270e-02 1.69708580e+00 6.02604066e+02 1.06173349e+02 1.72891511e+05 3.54895274e+02 1.62021087e+00 7.57242051e+05
2.31250000e-01 4.82756143e-02 1.69854577e+00 6.02445135e+02 1.06124835e+02 1.73082453e+05 3.54981837e+02 1.61957663e+00 7.57363586e+05
2.43750000e-01 5.04797015e-02 1.69850105e+00 6.02458069e+02 1.06190443e+02 1.73067869e+05 3.54961272e+02 1.61968742e+00 7.57424555e+05
2.56250000e-01 5.26837888e-02 1.69790992e+00 6.02548435e+02 1.06275064e+02 1.72972959e+05 3.54890124e+02 1.62012431e+00 7.57501250e+05
2.68750000e-01 5.48878761e-02 1.69708083e+00 6.02694786e+02 1.06307911e+02 1.72837047e+05 3.54784514e+02 1.62076223e+00 7.57624602e+05
2.81250000e-01 5.70919633e-02 1.69709308e+00 6.02708081e+02 1.06285144e+02 1.72833389e+05 3.54774444e+02 1.62080944e+00 7.57661770e+05
2.93750000e-01 5.92960506e-02 1.69735594e+00 6.02698090e+02 1.06253335e+02 1.72860693e+05 3.54775541e+02 1.62076625e+00 7.57732777e+05
3.06250000e-01 6.15001378e-02 1.69781071e+00 6.02665272e+02 1.06230343e+02 1.72912710e+05 3.54787243e+02 1.62064336e+00 7.57822250e+05
3.18750000e-01 6.37042251e-02 1.69817080e+00 6.02633361e+02 1.06228175e+02 1.72957186e+05 3.54803247e+02 1.62052258e+00 7.57881004e+05
3.31250000e-01 6.59083124e-02 1.69826103e+00 6.02646590e+02 1.06247221e+02 1.72955444e+05 3.54780824e+02 1.62061705e+00 7.57979879e+05
3.43750000e-01 6.81123996e-02 1.69822010e+00 6.02672565e+02 1.06266665e+02 1.72939370e+05 3.54756402e+02 1.62074952e+00 7.58058800e+05
3.56250000e-01 7.03164869e-02 1.69814946e+00 6.02703529e+02 1.06276801e+02 1.72919347e+05 3.54730084e+02 1.62089507e+00 7.58135154e+05
3.68750000e-01 7.25205741e-02 1.69810278e+00 6.02734228e+02 1.06280638e+02 1.72901234e+05 3.54702675e+02 1.62103953e+00 7.58218666e+05
3.81250000e-01 7.47246614e-02 1.69811227e+00 6.02753264e+02 1.06281799e+02 1.72893771e+05 3.54685383e+02 1.62112924e+00 7.58287125e+05
3.93750000e-01 7.69287487e-02 1.69814345e+00 6.02771243e+02 1.06282533e+02 1.72888439e+05 3.54667933e+02 1.62121635e+00 7.58362015e+05
4.06250000e-01 7.91328359e-02 1.69819573e+00 6.02786371e+02 1.06283045e+02 1.72886068e+05 3.54652152e+02 1.62129212e+00 7.58437102e+05
4.18750000e-01 8.13369232e-02 1.69826678e+00 6.02798480e+02 1.06283299e+02 1.72886533e+05 3.54638265e+02 1.62135557e+00 7.58510733e+05
4.31250000e-01 8.35410104e-02 1.69836311e+00 6.02806887e+02 1.06282504e+02 1.72890726e+05 3.54626753e+02 1.62140345e+00 7.58583167e+05
4.43750000e-01 8.57450977e-02 1.69848547e+00 6.02811484e+02 1.06280926e+02 1.72898738e+05 3.54617638e+02 1.62143555e+00 7.58654555e+05
4.56250000e-01 8.79491849e-02 1.69862146e+00 6.02813758e+02 1.06279788e+02 1.72908842e+05 3.54609971e+02 1.62145849e+00 7.58724781e+05
4.68750000e-01 9.01532722e-02 1.69875789e+00 6.02815487e+02 1.06279742e+02 1.72919183e+05 3.54602696e+02 1.62147961e+00 7.58794003e+05
4.81250000e-01 9.23573595e-02 1.69888082e+00 6.02818620e+02 1.06281199e+02 1.72927758e+05 3.54594620e+02 1.62150692e+00 7.58862458e+05
4.93750000e-01 9.45614467e-02 1.69898176e+00 6.02824287e+02 1.06284069e+02 1.72933366e+05 3.54585052e+02 1.62154490e+00 7.58929954e+05
5.06250000e-01 9.67655340e-02 1.69905552e+00 6.02833455e+02 1.06288011e+02 1.72935162e+05 3.54573341e+02 1.62159741e+00 7.58997129e+05
5.18750000e-01 9.89696212e-02 1.69911219e+00 6.02844796e+02 1.06291858e+02 1.72934615e+05 3.54560393e+02 1.62165838e+00 7.59063573e+05
5.31250000e-01 1.01173709e-01 1.69915648e+00 6.02857641e+02 1.06295478e+02 1.72932398e+05 3.54546607e+02 1.62172508e+00 7.59129182e+05
5.43750000e-01 1.03377796e-01 1.69919286e+00 6.02871352e+02 1.06298779e+02 1.72929174e+05 3.54532404e+02 1.62179486e+00 7.59193836e+05
5.56250000e-01 1.05581883e-01 1.69922517e+00 6.02885400e+02 1.06301720e+02 1.72925514e+05 3.54518162e+02 1.62186544e+00 7.59257498e+05
5.68750000e-01 1.07785970e-01 1.69925637e+00 6.02899388e+02 1.06304327e+02 1.72921849e+05 3.54504139e+02 1.62193521e+00 7.59320229e+05
5.81250000e-01 1.09990058e-01 1.69928875e+00 6.02913042e+02 1.06306644e+02 1.72918484e+05 3.54490485e+02 1.62200314e+00 7.59382197e+05
5.93750000e-01 1.12194145e-01 1.69932286e+00 6.02926299e+02 1.06308800e+02 1.72915477e+05 3.54477204e+02 1.62206910e+00 7.59443532e+05
6.06250000e-01 1.14398232e-01 1.69935935e+00 6.02939078e+02 1.06310814e+02 1.72912902e+05 3.54464313e+02 1.62213287e+00 7.59504276e+05
6.18750000e-01 1.16602319e-01 1.69939924e+00 6.02951229e+02 1.06312636e+02 1.72910896e+05 3.54451883e+02 1.62219386e+00 7.59564393e+05
6.31250000e-01 1.18806407e-01 1.69944332e+00 6.02962641e+02 1.06314273e+02 1.72909567e+05 3.54439965e+02 1.62225166e+00 7.59623886e+05
6.43750000e-01 1.21010494e-01 1.69948835e+00 6.02973674e+02 1.06316054e+02 1.72908463e+05 3.54428311e+02 1.62230794e+00 7.59682651e+05
6.56250000e-01 1.23214581e-01 1.69953194e+00 6.02984639e+02 1.06318055e+02 1.72907249e+05 3.54416732e+02 1.62236397e+00 7.59740660e+05
6.68750000e-01 1.25418668e-01 1.69957371e+00 6.02995630e+02 1.06320138e+02 1.72905872e+05 3.54405199e+02 1.62242001e+00 7.59797961e+05
6.81250000e-01 1.27622756e-01 1.69961569e+00 6.03006422e+02 1.06322064e+02 1.72904625e+05 3.54393889e+02 1.62247495e+00 7.59854594e+05
6.93750000e-01 1.29826843e-01 1.69965950e+00 6.03016813e+02 1.06323764e+02 1.72903739e+05 3.54382938e+02 1.62252791e+00 7.59910595e+05
7.06250000e-01 1.32030930e-01 1.69970574e+00 6.03026715e+02 1.06325290e+02 1.72903299e+05 3.54372395e+02 1.62257859e+00 7.59965968e+05
7.18750000e-01 1.34235017e-01 1.69975389e+00 6.03036178e+02 1.06326746e+02 1.72903232e+05 3.54362218e+02 1.62262726e+00 7.60020708e+05
7.31250000e-01 1.36439105e-01 1.69980336e+00 6.03045277e+02 1.06328182e+02 1.72903442e+05 3.54352337e+02 1.62267428e+00 7.60074820e+05
7.43750000e-01 1.38643192e-01 1.69985431e+00 6.03054009e+02 1.06329549e+02 1.72903943e+05 3.54342743e+02 1.62271967e+00 7.60128358e+05
7.56250000e-01 1.40847279e-01 1.69990797e+00 6.03062237e+02 1.06330750e+02 1.72904896e+05 3.54333510e+02 1.62276283e+00 7.60181378e+05
